,inputs,outputs,intention
87,"[0, 0, 0.05714285714285714, 1, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.08, 1, 0, 0.05714285714285714, 0, 0, 2.0, 0, 0, 0.08, 0, 0, 2.0]","[1, 0, 0, 0]",wall move
88,"[0, 0, 0.06896551724137931, 1, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.06451612903225806, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806, 0, 0, 2.0]","[1, 0, 0, 0]",wall move
89,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
90,"[0, 0, 0.06896551724137931, 0, 1, 0.05405405405405406, 0, 0, 0.6666666666666666, 1, 0, 0.06451612903225806, 0, 0, 0.06896551724137931, 0, 0, 0.6666666666666666, 1, 0, 0.06451612903225806, 0, 0, 0.6666666666666666]","[0, 0, 0, 1]",food move
91,"[0, 0, 0.05128205128205128, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.09523809523809523, 0, 0, 2.0, 0, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.09523809523809523]","[0, 1, 0, 0]",wall move
92,"[0, 0, 0.05405405405405406, 0, 0, 2.0, 0, 1, 0.05128205128205128, 1, 0, 0.08695652173913043, 0, 0, 2.0, 0, 0, 0.05405405405405406, 0, 0, 2.0, 1, 0, 0.08695652173913043]","[0, 0, 1, 0]",food move
93,"[0, 0, 0.05405405405405406, 1, 0, 0.6666666666666666, 0, 1, 0.05405405405405406, 0, 0, 0.08695652173913043, 0, 0, 0.6666666666666666, 0, 0, 0.05405405405405406, 1, 0, 0.6666666666666666, 0, 0, 0.08695652173913043]","[0, 0, 1, 0]",munch
94,"[0, 0, 0.03773584905660377, 0, 1, 0.15384615384615385, 1, 0, 0.07407407407407407, 0, 0, 0.2857142857142857, 0, 0, 0.15384615384615385, 0, 0, 0.07407407407407407, 0, 0, 0.2857142857142857, 0, 0, 0.2857142857142857]","[0, 0, 0, 1]",munch
95,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
96,"[0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182, 1, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",wall move
97,"[0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182, 1, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182]","[0, 0, 0, 1]",wall move
98,"[1, 0, 0.03389830508474576, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182, 0, 0, 2.0, 0, 0, 0.06896551724137931, 1, 0, 0.18181818181818182, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
99,"[0, 0, 0.2222222222222222, 0, 0, 0.08, 0, 1, 0.13333333333333333, 1, 0, 0.0392156862745098, 0, 0, 0.2222222222222222, 0, 0, 0.2222222222222222, 0, 0, 0.08, 0, 0, 0.13333333333333333]","[0, 0, 1, 0]",food move
100,"[0, 0, 0.10526315789473684, 0, 0, 0.10526315789473684, 0, 1, 0.09523809523809523, 1, 0, 0.04878048780487805, 0, 0, 0.10526315789473684, 0, 0, 0.10526315789473684, 0, 0, 0.10526315789473684, 1, 0, 0.09523809523809523]","[0, 0, 1, 0]",food move
101,"[0, 0, 2.0, 0, 0, 0.06451612903225806, 0, 0, 0.2222222222222222, 1, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 1, 0, 0.06451612903225806, 0, 0, 0.2222222222222222]","[0, 0, 1, 0]",wall move
102,"[0, 0, 0.06896551724137931, 0, 1, 0.09523809523809523, 1, 0, 0.10526315789473684, 0, 0, 0.06451612903225806, 0, 0, 0.09523809523809523, 0, 0, 0.10526315789473684, 0, 0, 0.09523809523809523, 0, 0, 0.10526315789473684]","[0, 0, 0, 1]",munch
